6520580.4227495 _!_ 105 _!_.1 Audio _!_.2 "play my femme fatale playlist on vimeo" _!_.3
76494460.489006 _!_ 105 _!_ Audio _!_ "play the last theme by behzad mirkhani" _!_
11067590.628299 _!_ 105 _!_ Audio _!_ "play me a song by michael diamond" _!_
58474560.4888916 _!_ 105 _!_ Audio _!_ "play zvooq latest track by peter appleyard" _!_
33824000.7625655 _!_ 105 _!_ Audio _!_ "play one way ticket by ray kennedy" _!_
27996368.0298998 _!_ 105 _!_ Audio _!_ "play a melody by colin blunstone" _!_
53929785.7267083 _!_ 105 _!_ Audio _!_ "can i hear a symphony from the seventies on youtube" _!_
90500303.7930404 _!_ 105 _!_ Audio _!_ "play movement music by monk boudreaux on youtube" _!_
3720040.36733697 _!_ 105 _!_ Audio _!_ "play the album resurrection in blood from sleepy brown on itunes" _!_
28033093.7080037 _!_ 105 _!_ Audio _!_ "play some tango on iheart" _!_
9318707.87069533 _!_ 105 _!_ Audio _!_ "will you play my nuestros 80 playlist" _!_
29291240.3975952 _!_ 105 _!_ Audio _!_ "use pandora to play music from maki onaga from the album made in the nineties" _!_
27870395.2382435 _!_ 105 _!_ Audio _!_ "play me some music youtube" _!_
18622876.5634221 _!_ 105 _!_ Audio _!_ "play dj scratch s eighties music on iheart" _!_
63482399.8152874 _!_ 105 _!_ Audio _!_ "play jazz music by zvooq" _!_
41102824.2798181 _!_ 105 _!_ Audio _!_ "open deezer and search for scott miller and play some of his new songs" _!_
47274198.9845199 _!_ 105 _!_ Audio _!_ "open up lastfm and play some songs" _!_
14441903.1347088 _!_ 105 _!_ Audio _!_ "play some fifties music by chris brown" _!_
47552621.9907857 _!_ 105 _!_ Audio _!_ "play the track goodbye alexander goodbye honey boy from ehsaan noorani" _!_
71792043.2317521 _!_ 105 _!_ Audio _!_ "play el cant dels ocells by vini lopez" _!_
36302819.3719823 _!_ 105 _!_ Audio _!_ "play christian gangsta rap" _!_
1335585.6723571 _!_ 105 _!_ Audio _!_ "play them by guy-manuel de homem-christo" _!_
91968480.925074 _!_ 105 _!_ Audio _!_ "play some rap on pandora" _!_
97611913.4690536 _!_ 105 _!_ Audio _!_ "play inventions for the new season" _!_
94896000.37719 _!_ 105 _!_ Audio _!_ "play the greatest adrian kowanek music" _!_
51219597.9889097 _!_ 105 _!_ Audio _!_ "play music from the top-5 from artist kenia arias" _!_
39094543.752772 _!_ 105 _!_ Audio _!_ "play music off youtube" _!_
59875843.2307969 _!_ 105 _!_ Audio _!_ "play some acapella music" _!_
64104583.4252568 _!_ 105 _!_ Audio _!_ "play some mark tremonti from the thirties" _!_
71960396.8367574 _!_ 105 _!_ Audio _!_ "play fifties music on deezer" _!_
16007392.0924489 _!_ 105 _!_ Audio _!_ "can you play some weird music from the noise genre" _!_
24697273.2053607 _!_ 105 _!_ Audio _!_ "play the latest thelma aoyama" _!_
37347413.6170533 _!_ 105 _!_ Audio _!_ "sort eighties ep from the last" _!_
30429160.4650936 _!_ 105 _!_ Audio _!_ "play the track r u professional by roberto carlos braga" _!_
81355296.390999 _!_ 105 _!_ Audio _!_ "play a concerto by thekra" _!_
35814353.3939886 _!_ 105 _!_ Audio _!_ "play that stubborn kinda fellow by michael amott" _!_
47216053.8373574 _!_ 105 _!_ Audio _!_ "i want to hear the new vasilis tsitsanis ep" _!_
12045706.950415 _!_ 105 _!_ Audio _!_ "play the album by paul barker playing the greatest from 1978" _!_
30332679.3812096 _!_ 105 _!_ Audio _!_ "i want to hear ready by frankenstein drag queens from planet 13" _!_
53590552.9837996 _!_ 105 _!_ Audio _!_ "play me songs from agreable" _!_
70949952.4412041 _!_ 105 _!_ Audio _!_ "play music off youtube" _!_
24256541.0203541 _!_ 105 _!_ Audio _!_ "i want to hear secrets on parade from tommy walter" _!_
24949621.0377213 _!_ 105 _!_ Audio _!_ "play the top song by jack grisham" _!_
55347546.217269 _!_ 105 _!_ Audio _!_ "play music from artist ashley" _!_
71249480.0830263 _!_ 105 _!_ Audio _!_ "play me a track by steve souza" _!_
98020009.2341269 _!_ 105 _!_ Audio _!_ "play fourties chant music on last fm" _!_
98712768.9556871 _!_ 105 _!_ Audio _!_ "play greatest chant music from beni arashiro" _!_
39822676.2582363 _!_ 105 _!_ Audio _!_ "play elliot easton s album beautiful" _!_
46154251.7856852 _!_ 105 _!_ Audio _!_ "play intense studying playlist on itunes" _!_
28599955.9604693 _!_ 105 _!_ Audio _!_ "let me hear an ep from the thirties era of music" _!_
94445924.764472 _!_ 105 _!_ Audio _!_ "please play kabhi jo baadal barse by ruth lorenzo" _!_
20780324.8050456 _!_ 105 _!_ Audio _!_ "play music from 2015" _!_
14472509.8182559 _!_ 105 _!_ Audio _!_ "i want to hear richard falomir s best song on pandora" _!_
51530040.4046597 _!_ 105 _!_ Audio _!_ "play a song from 1950" _!_
32639084.5830979 _!_ 105 _!_ Audio _!_ "play me some music from 1999" _!_
56298191.5237812 _!_ 105 _!_ Audio _!_ "use youtube to play music from dorothy ashby from the year 2002" _!_
23388313.8130162 _!_ 105 _!_ Audio _!_ "i want ohear the 1996 soundtrack from deezer" _!_
75721947.746244 _!_ 105 _!_ Audio _!_ "play a 1950 album on iheart" _!_
98905839.5190208 _!_ 105 _!_ Audio _!_ "play wanted by erykah badu" _!_
47263842.7483455 _!_ 105 _!_ Audio _!_ "start up my independent music monday playlist" _!_
60456073.8116936 _!_ 105 _!_ Audio _!_ "play an alla pougatcheva ballad on pandora" _!_
53214593.2977154 _!_ 105 _!_ Audio _!_ "play bitch please ii from julee cruise on iheart" _!_
31962629.6234511 _!_ 105 _!_ Audio _!_ "play post garage wave revival playlist" _!_
19526934.7357391 _!_ 105 _!_ Audio _!_ "play zvooq southern gothic" _!_
99642847.1599264 _!_ 105 _!_ Audio _!_ "play a loretta lynn tune on groove shark" _!_
93722414.5343426 _!_ 105 _!_ Audio _!_ "play me gil parris s a cup of coffee a sandwich and you" _!_
75102393.7330547 _!_ 105 _!_ Audio _!_ "lets hear some booty bass" _!_
17772453.3816372 _!_ 105 _!_ Audio _!_ "play the garden of allah from wade mainer" _!_
89166920.8750149 _!_ 105 _!_ Audio _!_ "play all the way my savior leads me on spotify" _!_
84512286.1354718 _!_ 105 _!_ Audio _!_ "i d like to hear infinite indie folk on slacker" _!_
68670502.5351644 _!_ 105 _!_ Audio _!_ "play music on deezer by imogen heap" _!_
43861146.2242642 _!_ 105 _!_ Audio _!_ "play my trabajo relax playlist" _!_
96196938.0376025 _!_ 105 _!_ Audio _!_ "play some chant music from 2008" _!_
90692545.0795974 _!_ 105 _!_ Audio _!_ "play some krzysztof penderecki on last fm" _!_
53445344.5107637 _!_ 105 _!_ Audio _!_ "play some good amber gristak on lastfm" _!_
1010521.99837872 _!_ 105 _!_ Audio _!_ "play some rockwell from around 1996" _!_
6576878.77143467 _!_ 105 _!_ Audio _!_ "play my de camino playlist" _!_
79267892.6745437 _!_ 105 _!_ Audio _!_ "play something from the twenties on lastfm" _!_
62730305.972666 _!_ 105 _!_ Audio _!_ "play my hardstyle baby playlist on netflix" _!_
52861080.1038603 _!_ 105 _!_ Audio _!_ "play some nineties music on zvooq" _!_
4353703.9810791 _!_ 105 _!_ Audio _!_ "play music by cass elliot" _!_
35075337.1797647 _!_ 105 _!_ Audio _!_ "play a nineties tune by sugar minott on netflix" _!_
32980493.2543037 _!_ 105 _!_ Audio _!_ "play the late night jazz soundtrack on zvooq" _!_
25434998.453718 _!_ 105 _!_ Audio _!_ "in google music play the top singles released in 1972" _!_
50477762.8379061 _!_ 105 _!_ Audio _!_ "open youtube and play nanana from massimo altomare" _!_
63646978.8002779 _!_ 105 _!_ Audio _!_ "wish to hear a concerto by diplo from 1952" _!_
97218852.7340819 _!_ 105 _!_ Audio _!_ "play the top twenty tracks of ron jarzombek" _!_
93290207.6696025 _!_ 105 _!_ Audio _!_ "play fais les backs by sarah geronimo on youtube" _!_
48497708.9692355 _!_ 105 _!_ Audio _!_ "play blues on vimeo" _!_
40630459.648915 _!_ 105 _!_ Audio _!_ "play some eighties by amirbai karnataki" _!_
5970977.63313148 _!_ 105 _!_ Audio _!_ "play a sixties song by classified" _!_
47818540.0041695 _!_ 105 _!_ Audio _!_ "play murder the mountains by mana on netflix" _!_
5214335.72591805 _!_ 105 _!_ Audio _!_ "play ik hou van jou by elena temnikova" _!_
53763906.0135551 _!_ 105 _!_ Audio _!_ "play randy castillo s music from 1952" _!_
71939368.6880107 _!_ 105 _!_ Audio _!_ "play the gary chaw album" _!_
42165808.3981443 _!_ 105 _!_ Audio _!_ "play track real talk" _!_
50472642.3537721 _!_ 105 _!_ Audio _!_ "play music by amii stewart with itunes" _!_
6842297.02162278 _!_ 105 _!_ Audio _!_ "play the instrumental study on vimeo" _!_
17901440.5905608 _!_ 105 _!_ Audio _!_ "play soheila zaland" _!_
1721178.29630645 _!_ 105 _!_ Audio _!_ "play a song by fats waller" _!_
33153945.5618658 _!_ 105 _!_ Audio _!_ "play the eternal by juju mob on vimeo" _!_
49431511.1525811 _!_ 105 _!_ Audio _!_ "play me a song by dj paul elstak in 1988 on zvooq" _!_
81124423.8251549 _!_ 105 _!_ Audio _!_ "please play some black metal music" _!_
68998839.4568273 _!_ 105 _!_ Audio _!_ "play peja tunes" _!_
10730546.5336533 _!_ 105 _!_ Audio _!_ "i wanna hear something on spotify by eddie vinson" _!_
51618141.6653179 _!_ 105 _!_ Audio _!_ "play anything from 1970" _!_
37589016.202488 _!_ 105 _!_ Audio _!_ "please play got the time" _!_
88128564.3135694 _!_ 105 _!_ Audio _!_ "can you play the newest record from 1966 by tony lee" _!_
37034874.4259325 _!_ 105 _!_ Audio _!_ "play some drum & bass" _!_
89389123.6256398 _!_ 105 _!_ Audio _!_ "play an album from the fourties" _!_
22235998.7742583 _!_ 105 _!_ Audio _!_ "play music from the list indie electronics" _!_
3162765.14622333 _!_ 105 _!_ Audio _!_ "play me something on last fm" _!_
43169367.8048175 _!_ 105 _!_ Audio _!_ "i want to hear aki nawaz play the song fair annie" _!_
82214292.634995 _!_ 105 _!_ Audio _!_ "play some music by karl blau" _!_
20587115.8892607 _!_ 105 _!_ Audio _!_ "use service vimeo to play music from the artist mick track now we are 5" _!_
38965190.2952915 _!_ 105 _!_ Audio _!_ "i need some hardcore hip hop" _!_
16441569.5665334 _!_ 105 _!_ Audio _!_ "play listen to the mocking bird by billy martin on youtube" _!_
65318344.4317063 _!_ 105 _!_ Audio _!_ "play sixties theme music" _!_
28870133.1152228 _!_ 105 _!_ Audio _!_ "play shara worden" _!_
63232305.8835343 _!_ 105 _!_ Audio _!_ "play portsmouth by paul smith on google music" _!_
41412004.5669222 _!_ 105 _!_ Audio _!_ "play a new song from 1976" _!_
77412532.842778 _!_ 105 _!_ Audio _!_ "i want to listen to an album sorted by last open google music and play paulinho da viola" _!_
27185675.9604091 _!_ 105 _!_ Audio _!_ "play in the arms of god on zvooq by nimal mendis" _!_
53698806.7915606 _!_ 105 _!_ Audio _!_ "play music by charlie adams from 1954" _!_
55830850.0850423 _!_ 105 _!_ Audio _!_ "i want to hear choice on last fm from the twenties" _!_
57169354.2099821 _!_ 105 _!_ Audio _!_ "play me some seventies music with a good melody" _!_
692914.769244757 _!_ 105 _!_ Audio _!_ "can you play some music by andrew diamond" _!_
32839418.203629 _!_ 105 _!_ Audio _!_ "play twenties music off of my itunes" _!_
11703397.454376 _!_ 105 _!_ Audio _!_ "play me the newest fourties symphony" _!_
97025860.7294922 _!_ 105 _!_ Audio _!_ "play my top gaming tracks" _!_
95953482.6536502 _!_ 105 _!_ Audio _!_ "play latina" _!_
39117948.5776379 _!_ 105 _!_ Audio _!_ "can i hear tod ashley music from 1953" _!_
56390917.5052355 _!_ 105 _!_ Audio _!_ "play some glenn miller" _!_
99322961.5742087 _!_ 105 _!_ Audio _!_ "play the album have another ball" _!_
62655995.8495279 _!_ 105 _!_ Audio _!_ "play the newest ep from the sixties" _!_
94629284.6929835 _!_ 105 _!_ Audio _!_ "play some 2011 music by dan healy" _!_
17223176.0308529 _!_ 105 _!_ Audio _!_ "open zvooq and play the best songs from device" _!_
6283778.82763305 _!_ 105 _!_ Audio _!_ "play the newest sound track from the thirties" _!_
24363827.8457518 _!_ 105 _!_ Audio _!_ "play music by antonella barba from the album bath" _!_
43538020.5034362 _!_ 105 _!_ Audio _!_ "play 1960 chant music by hermann baumann" _!_
62301420.9749255 _!_ 105 _!_ Audio _!_ "play some erin harkes from the fifties on lastfm" _!_
82044184.3193933 _!_ 105 _!_ Audio _!_ "play 1981 music on last fm" _!_
21188000.1313452 _!_ 105 _!_ Audio _!_ "play the best sebastian karlsson melody on youtube" _!_
86939902.8537665 _!_ 105 _!_ Audio _!_ "use deezer to play music by junior brown" _!_
13228875.0850763 _!_ 105 _!_ Audio _!_ "play some thirties music on netflix" _!_
20738779.540443 _!_ 105 _!_ Audio _!_ "play the best 1981 sound track from ric fierabracci" _!_
75333967.3599703 _!_ 105 _!_ Audio _!_ "play some bass music" _!_
245955.089243521 _!_ 105 _!_ Audio _!_ "play a song from 1973" _!_
35459264.714622 _!_ 105 _!_ Audio _!_ "play the newest released song from 1951" _!_
53287308.4697755 _!_ 105 _!_ Audio _!_ "play steven reineke greatest soundtrack on youtube" _!_
99233195.4752656 _!_ 105 _!_ Audio _!_ "play top 100 indie tracks on spotify on lastfm" _!_
58974543.5265514 _!_ 105 _!_ Audio _!_ "play me benjamin kowalewicz s top hits" _!_
5088920.77376473 _!_ 105 _!_ Audio _!_ "play clifford brown all stars by michael balzary" _!_
36211477.032277 _!_ 105 _!_ Audio _!_ "i want to hear opera on netflix" _!_
22717492.2057076 _!_ 105 _!_ Audio _!_ "play music from youtube" _!_
7331632.57703808 _!_ 105 _!_ Audio _!_ "play té para tres" _!_
7936137.9745406 _!_ 105 _!_ Audio _!_ "play a song from 1994" _!_
854634.727385961 _!_ 105 _!_ Audio _!_ "can you play an ep by tatjana iwanowna bulanowa" _!_
83623619.798563 _!_ 105 _!_ Audio _!_ "play a 2013 song on groove shark" _!_
16452516.2862463 _!_ 105 _!_ Audio _!_ "play top-50 peter frampton songs" _!_
61119254.8079843 _!_ 105 _!_ Audio _!_ "play the most popular song by espen lind" _!_
1261448.26608627 _!_ 105 _!_ Audio _!_ "play rhythmic" _!_
57638515.8239324 _!_ 105 _!_ Audio _!_ "play eighties track" _!_
29849602.995193 _!_ 105 _!_ Audio _!_ "play suite sudarmoricaine by afi on itunes" _!_
42637309.9197036 _!_ 105 _!_ Audio _!_ "play me the greatest chant by laurel aitken on lastfm" _!_
4644261.38299159 _!_ 105 _!_ Audio _!_ "open my music playlist on youtube" _!_
47189721.4142372 _!_ 105 _!_ Audio _!_ "play funky heavy bluesy" _!_
32917438.075603 _!_ 105 _!_ Audio _!_ "play igor nikolayev music from the fourties" _!_
56087162.5572969 _!_ 105 _!_ Audio _!_ "use netflix to play a record by emil gilels from year 2015" _!_
52720082.4816755 _!_ 105 _!_ Audio _!_ "play some ray williams music from the nineties on spotify" _!_
14329169.1344664 _!_ 105 _!_ Audio _!_ "i want to hear a joel hastings melody" _!_
26184140.5836216 _!_ 105 _!_ Audio _!_ "play me a chris needham song on vimeo" _!_
44627505.2292943 _!_ 105 _!_ Audio _!_ "play playlist the realest down south" _!_
34765320.3146268 _!_ 105 _!_ Audio _!_ "play someday soon by fiona" _!_
32950874.5431971 _!_ 105 _!_ Audio _!_ "play party through the decades on deezer" _!_
46589529.4013017 _!_ 105 _!_ Audio _!_ "please play a song for me from 1959" _!_
15631322.0174814 _!_ 105 _!_ Audio _!_ "play some music by frayser boy" _!_
72594698.0209198 _!_ 105 _!_ Audio _!_ "i want to hear a good song from 2016" _!_
65238767.878896 _!_ 105 _!_ Audio _!_ "i want to listen to merrily we roll along by marko desantis" _!_
60382277.5250397 _!_ 105 _!_ Audio _!_ "please open pandora for me" _!_
71482987.2830828 _!_ 105 _!_ Audio _!_ "i want to hear music from 1975" _!_
35095089.753605 _!_ 105 _!_ Audio _!_ "play the album pressure cracks with netflix" _!_
75278400.0858326 _!_ 105 _!_ Audio _!_ "play the it could only happen with you album by lawrence" _!_
84344434.3317059 _!_ 105 _!_ Audio _!_ "play regulate…g funk era by artist iouri bachmet on groove shark" _!_
94472018.3986121 _!_ 105 _!_ Audio _!_ "play the top five melody from 2000" _!_
70129079.2716392 _!_ 105 _!_ Audio _!_ "play slow rock on lastfm" _!_
20416455.532658 _!_ 105 _!_ Audio _!_ "play dj ozma top songs" _!_
94930438.8403884 _!_ 105 _!_ Audio _!_ "play llegando a casa playlist" _!_
13912433.4395632 _!_ 105 _!_ Audio _!_ "play the last soundtrack from the sixties" _!_
37293995.5876338 _!_ 105 _!_ Audio _!_ "play theme by yanni on vimeo" _!_
82128633.6053557 _!_ 105 _!_ Audio _!_ "open netflix and play david frizzell" _!_
94757602.1880338 _!_ 105 _!_ Audio _!_ "play isham jones" _!_
32475497.0402755 _!_ 105 _!_ Audio _!_ "let me listen to the music of nature album by paul draper" _!_
74786574.7851359 _!_ 105 _!_ Audio _!_ "play some art punk" _!_
29697911.1297586 _!_ 105 _!_ Audio _!_ "i want to the latest ballad from ira losco" _!_
58837626.8336925 _!_ 105 _!_ Audio _!_ "play giovanni battista guadagnini s 1982 tracks" _!_
48316365.0764385 _!_ 105 _!_ Audio _!_ "play my madrugando playlist on groove shark" _!_
86581790.5184786 _!_ 105 _!_ Audio _!_ "play the playlist a mis niños de 30" _!_
77681806.0588102 _!_ 105 _!_ Audio _!_ "play any track by flame" _!_
58287742.9412838 _!_ 105 _!_ Audio _!_ "play dj kentaro from the year 1994" _!_
12117530.5710205 _!_ 105 _!_ Audio _!_ "play music on last fm" _!_
55657837.0652446 _!_ 105 _!_ Audio _!_ "play a song from my workout playlist on groove shark" _!_
70767830.7766102 _!_ 105 _!_ Audio _!_ "play a track by yui on vimeo" _!_
90718893.8506275 _!_ 105 _!_ Audio _!_ "play lighter by pamela jintana racine" _!_
82043064.3304745 _!_ 105 _!_ Audio _!_ "play me a song from voices & images" _!_
47547543.6752792 _!_ 105 _!_ Audio _!_ "play talking to the universe on itunes" _!_
8318692.3649978 _!_ 105 _!_ Audio _!_ "play any song from rebecca hewitt" _!_
24154329.2445091 _!_ 105 _!_ Audio _!_ "play always by walter parazaider" _!_
21250286.2979522 _!_ 105 _!_ Audio _!_ "please play anything by george formby jr" _!_
70048249.5609945 _!_ 105 _!_ Audio _!_ "play any song from the eighties" _!_
56301315.2915633 _!_ 105 _!_ Audio _!_ "listen to pmd symphony" _!_
48065212.9855104 _!_ 105 _!_ Audio _!_ "play iheart" _!_
10048333.3933465 _!_ 105 _!_ Audio _!_ "play ngola ritmos top-ten songs" _!_
84732756.4454884 _!_ 105 _!_ Audio _!_ "i want to hear the fear the boom and bust song from haruka shimotsuki off of spotify" _!_
58648658.3986476 _!_ 105 _!_ Audio _!_ "play morning song" _!_
75279108.7368607 _!_ 105 _!_ Audio _!_ "play music from tommy ridgley" _!_
69452098.9221198 _!_ 105 _!_ Audio _!_ "i want to hear sebastian s songs from the thirties on youtube" _!_
71825129.8629405 _!_ 105 _!_ Audio _!_ "play wow by jon theodore" _!_
36526738.7767447 _!_ 105 _!_ Audio _!_ "play some 50 shades of love" _!_
29550090.7496718 _!_ 105 _!_ Audio _!_ "play luis alfonzo larrain from 1995" _!_
81519331.9468968 _!_ 105 _!_ Audio _!_ "use the service zvooq to play merengue music" _!_
40950339.3213744 _!_ 105 _!_ Audio _!_ "play the best vanessa peters songs" _!_
25188987.7861722 _!_ 105 _!_ Audio _!_ "play the album winner takes all by takuro with last fm" _!_
34307995.3665099 _!_ 105 _!_ Audio _!_ "play my jazz brasileiro playlist" _!_
91105099.3014812 _!_ 105 _!_ Audio _!_ "play the top song by amon amarth on groove shark" _!_
80603304.7984698 _!_ 105 _!_ Audio _!_ "use deezer service to play opera" _!_
80613817.6811946 _!_ 105 _!_ Audio _!_ "i want to hear some music from spotify" _!_
67571436.8262102 _!_ 105 _!_ Audio _!_ "play a symphonic rock on pandora" _!_
98754874.6329731 _!_ 105 _!_ Audio _!_ "play a wendy carlos song from 2002" _!_
68885875.7229812 _!_ 105 _!_ Audio _!_ "play top-50 eighties theme from alain caron" _!_
61488339.0191269 _!_ 105 _!_ Audio _!_ "i d like to hear ami suzuki s latest record" _!_
41015602.0139377 _!_ 105 _!_ Audio _!_ "play michael angelo batio" _!_
94809867.6951433 _!_ 105 _!_ Audio _!_ "play some paul stookey from the sixties" _!_
64617074.4611993 _!_ 105 _!_ Audio _!_ "play a song from 1990 on netflix" _!_
87506877.820408 _!_ 105 _!_ Audio _!_ "play some dance on groove shark" _!_
56346693.0285464 _!_ 105 _!_ Audio _!_ "play a tune from 2000 by bronislau kaper" _!_
19615130.8112291 _!_ 105 _!_ Audio _!_ "play some sonu niigaam from the fifties" _!_
64557416.353396 _!_ 105 _!_ Audio _!_ "play me the greatest track of 1966" _!_
51664903.7650313 _!_ 105 _!_ Audio _!_ "use spotify to play me music" _!_
20371375.7668237 _!_ 105 _!_ Audio _!_ "play instrumental pop" _!_
65673348.5831132 _!_ 105 _!_ Audio _!_ "play the latest melody from cliff edwards on deezer" _!_
79364669.1019782 _!_ 105 _!_ Audio _!_ "play some music from 1989 by sanjeev abhyankar" _!_
85584611.9505555 _!_ 105 _!_ Audio _!_ "play a melody from the nineties on google music" _!_
13208048.2848497 _!_ 105 _!_ Audio _!_ "please play this is the day by brian robertson" _!_
81679288.6437376 _!_ 105 _!_ Audio _!_ "play music off itunes" _!_
88203842.6917183 _!_ 105 _!_ Audio _!_ "play step up your game by marc cohn" _!_
64437098.2220878 _!_ 105 _!_ Audio _!_ "i need some ambient music" _!_
42886728.3156292 _!_ 105 _!_ Audio _!_ "play prints in the stone by helen baylor" _!_
20954235.2658344 _!_ 105 _!_ Audio _!_ "play turbulence wild streetdanz from jeff buckley" _!_
98392717.7521721 _!_ 105 _!_ Audio _!_ "play some seventies songs from joseph genaro on google music" _!_
52667972.3204892 _!_ 105 _!_ Audio _!_ "play a 2001 tune" _!_
